ds,y
2021-04-04,18.55
2021-04-05,18.68
2021-04-06,17.88
2021-04-07,17.94
2021-04-08,18.19
2021-04-09,18.25
2021-04-10,18.01
2021-04-11,18.31
2021-04-12,17.03
2021-04-13,18.55
2021-04-14,18.74
2021-04-15,18.62
2021-04-16,18.19
2021-04-17,19.35
2021-04-18,19.59
2021-04-19,19.53
2021-04-20,19.41
2021-04-21,19.96
2021-04-22,19.84
2021-04-23,19.9
2021-04-24,19.53
2021-04-25,18.86
2021-04-26,20.02
2021-04-27,19.9
2021-04-28,20.14
2021-04-29,19.47
2021-04-30,19.35
2021-05-01,19.96
2021-05-02,19.23
2021-05-03,19.71
2021-05-04,19.23
2021-05-05,19.1
2021-05-06,19.96
2021-05-07,19.17
2021-05-08,19.53
2021-05-09,19.9
2021-05-10,20.2
2021-05-11,20.32
2021-05-12,20.39
2021-05-13,20.39
2021-05-14,19.59
2021-05-15,19.78
2021-05-16,19.41
2021-05-17,19.35
2021-05-18,19.41
2021-05-19,20.08
2021-05-20,19.9
2021-05-21,19.35
2021-05-22,20.57
2021-05-23,20.63
2021-05-24,21.06
2021-05-25,19.84
2021-05-26,18.92
2021-05-27,19.04
2021-05-28,19.65
2021-05-29,20.2
2021-05-30,20.08
2021-05-31,20.02
2021-06-01,19.59
2021-06-02,20.02
2021-06-03,19.9
2021-06-04,20.02
2021-06-05,19.35
2021-06-06,19.29
2021-06-07,19.65
2021-06-08,20.2
2021-06-09,19.35
2021-06-10,19.59
2021-06-11,18.92
2021-06-12,19.23
2021-06-13,19.65
2021-06-14,19.35
2021-06-15,19.04
2021-06-16,19.17
2021-06-17,19.41
2021-06-18,19.84
2021-06-19,19.23
2021-06-20,18.86
2021-06-21,19.41
2021-06-22,19.78
2021-06-23,18.8
2021-06-24,19.17
2021-06-25,19.29
2021-06-26,18.55
2021-06-27,18.8
2021-06-28,18.49
2021-06-29,18.8
2021-06-30,19.53
2021-07-01,19.35
2021-07-02,18.92
2021-07-03,19.65
2021-07-04,19.35
2021-07-05,19.35
